x,y,error,timestamp,targetX,targetY
859.24,693.66,undefined,19666,659.82,694.63
837.40,690.21,undefined,19717.700000047684,686.46,693.96
897.59,696.47,undefined,19764.799999952316,718.13,694.34
897.87,680.39,undefined,19825.799999952316,745.09,692.25
885.40,668.79,undefined,19875.299999952316,766.14,688.73
917.31,677.47,undefined,19927.599999904633,788.81,687.04
941.57,692.06,undefined,19973.200000047684,811.73,687.79
968.03,718.78,undefined,20025.700000047684,835.17,692.44
976.96,720.48,undefined,20078.700000047684,856.44,696.65
1010.20,715.11,undefined,20131,879.50,699.42
1005.46,688.35,undefined,20194.299999952316,898.40,697.76
1004.08,669.21,undefined,20241.599999904633,914.25,693.47
1023.27,681.28,undefined,20445.299999952316,930.60,691.65
1003.89,591.49,undefined,20674.700000047684,941.60,676.62
966.41,567.53,undefined,20725.900000095367,945.32,660.26
968.68,580.43,undefined,20774.599999904633,948.82,648.28
946.00,562.08,undefined,20825.900000095367,948.40,635.35
930.79,570.68,undefined,20876.200000047684,945.76,625.65
930.87,570.43,undefined,20924.700000047684,943.52,617.37
940.71,644.26,undefined,20977.200000047684,943.10,621.40
943.78,706.10,undefined,21023.900000095367,943.20,634.11
855.19,756.19,undefined,21171.799999952316,930.00,652.42
886.17,722.19,undefined,21219.299999952316,923.43,662.89
914.51,680.02,undefined,21275.599999904633,922.09,665.46
924.42,661.30,undefined,21325.200000047684,922.44,664.83
887.19,677.72,undefined,21376.599999904633,917.15,666.77
855.49,692.11,undefined,21425.099999904633,907.90,670.57
836.98,701.82,undefined,21475.099999904633,897.26,675.25
857.63,672.73,undefined,21525.700000047684,891.32,674.88
866.95,640.90,undefined,21574.900000095367,887.66,669.78
802.25,489.76,undefined,22579.400000095367,874.85,642.78
791.11,360.18,undefined,22648.5,862.29,600.39
786.74,268.65,undefined,22708,850.96,550.63
797.00,220.35,undefined,22778.5,842.86,501.09
797.83,162.22,undefined,22821,836.11,450.26
803.89,92.03,undefined,22875.700000047684,831.28,396.52
831.78,116.14,undefined,22924.299999952316,831.35,354.46
845.04,72.07,undefined,22974.400000095367,833.40,312.11
868.06,104.28,undefined,23025.400000095367,838.60,280.93
873.00,122.32,undefined,23074.700000047684,843.76,257.14
867.98,93.54,undefined,23127.700000047684,847.40,232.60
865.47,49.77,undefined,23171.599999904633,850.11,205.17
869.47,59.55,undefined,23225.700000047684,853.01,183.33
880.68,92.16,undefined,23276.400000095367,857.16,169.65
814.24,101.39,undefined,23325.599999904633,850.72,159.41
797.07,152.38,undefined,23376,842.68,158.36
787.13,110.49,undefined,23427.700000047684,834.34,151.18
776.98,81.01,undefined,23470.599999904633,825.74,140.65
780.53,76.90,undefined,23526.400000095367,818.96,131.09
798.14,116.73,undefined,23575.700000047684,815.83,128.94
771.46,95.64,undefined,23622.200000047684,809.18,123.94
769.29,116.68,undefined,23675.900000095367,803.19,122.85
802.73,126.74,undefined,23725.200000047684,803.12,123.44
838.90,113.69,undefined,23775.400000095367,808.49,121.97
853.95,150.41,undefined,23829.099999904633,815.31,126.24
879.21,165.82,undefined,23873.099999904633,824.90,132.18
886.05,159.33,undefined,23922.599999904633,834.07,136.25
877.16,170.41,undefined,23978.799999952316,840.53,141.37
870.41,177.80,undefined,24031.700000047684,845.01,146.84
854.52,205.74,undefined,24093.799999952316,846.44,155.67
851.76,238.83,undefined,24139.099999904633,847.24,168.15
876.48,229.84,undefined,24195.400000095367,851.62,177.40
885.63,225.76,undefined,24239,856.72,184.65
869.88,241.41,undefined,24286.700000047684,858.70,193.17
840.74,260.44,undefined,24336.599999904633,856.00,203.26
861.02,290.32,undefined,24393.400000095367,856.76,216.32
877.01,315.89,undefined,24441.599999904633,859.79,231.25
877.16,299.00,undefined,24493.599999904633,862.40,241.41
906.79,291.07,undefined,24540.900000095367,869.06,248.86
900.80,244.72,undefined,24592.700000047684,873.82,248.24
893.13,220.46,undefined,24641,876.72,244.07
812.53,181.32,undefined,24692.900000095367,867.09,234.66
746.83,154.30,undefined,24740.799999952316,849.05,222.61
587.11,165.10,undefined,24792.400000095367,809.76,213.98
462.81,142.94,undefined,24840.700000047684,757.71,203.32
490.60,143.92,undefined,24896.700000047684,717.65,194.41
559.61,149.87,undefined,24950.799999952316,693.94,187.73
513.38,164.32,undefined,25005.799999952316,666.86,184.22
551.86,220.79,undefined,25059.900000095367,649.61,189.71
501.75,190.94,undefined,25119.400000095367,627.43,189.89
501.13,217.54,undefined,25173.900000095367,608.49,194.04
535.01,241.18,undefined,25232,597.46,201.11
502.60,289.60,undefined,25288.099999904633,583.23,214.38
498.77,303.00,undefined,25360.799999952316,570.56,227.67
526.68,298.49,undefined,25417.299999952316,563.98,238.30
472.77,312.01,undefined,25476.599999904633,550.30,249.35
447.30,325.45,undefined,25527.900000095367,534.85,260.77
460.68,313.38,undefined,25592.099999904633,523.73,268.66
463.31,309.70,undefined,25640.200000047684,514.66,274.82
480.92,304.37,undefined,25695.200000047684,509.60,279.25
418.38,327.94,undefined,25749.799999952316,495.92,286.55
381.47,280.75,undefined,25804,478.75,285.68
353.72,263.11,undefined,25857,460.00,282.30
332.58,264.97,undefined,25908.099999904633,440.88,279.70
313.84,275.31,undefined,25956.900000095367,421.83,279.04
270.47,289.64,undefined,26007.5,399.12,280.63
240.45,313.93,undefined,26057.200000047684,375.32,285.62
214.59,329.17,undefined,26108.700000047684,351.21,292.16
199.73,318.27,undefined,26157,328.49,296.07
189.81,299.37,undefined,26208.299999952316,307.69,296.57
157.21,284.70,undefined,26256.900000095367,285.12,294.79
159.58,323.21,undefined,26309.299999952316,266.29,299.05
153.39,339.41,undefined,26358,249.35,305.11
158.60,348.77,undefined,26411.400000095367,235.74,311.65
168.59,340.86,undefined,26454.299999952316,225.67,316.04
149.02,329.74,undefined,26510.900000095367,214.17,318.09
133.50,319.80,undefined,26553.900000095367,202.07,318.35
141.48,323.68,undefined,26609.400000095367,192.98,319.15
161.65,334.81,undefined,26657.799999952316,188.28,321.50
166.71,326.65,undefined,26708,185.04,322.27
170.49,337.50,undefined,26757.900000095367,182.86,324.56
102.34,284.36,undefined,26813.099999904633,170.78,318.53
34.69,217.72,undefined,26853.700000047684,150.37,303.41
45.93,83.98,undefined,27567.200000047684,134.70,270.49
82.29,84.92,undefined,28939.400000095367,126.84,242.66
32.07,194.57,undefined,29229.099999904633,112.63,235.44
254.81,169.96,undefined,29279.299999952316,133.95,225.62
370.28,272.97,undefined,29332.400000095367,169.40,232.72
528.20,247.68,undefined,29387.900000095367,223.22,234.97
587.81,289.91,undefined,29437.099999904633,277.91,243.21
673.36,282.98,undefined,29495.099999904633,337.23,249.17
790.85,293.46,undefined,29561.700000047684,405.27,255.82
747.84,308.14,undefined,29628.5,456.66,263.66
853.97,278.57,undefined,29687.700000047684,516.25,265.90
805.74,284.90,undefined,29746.200000047684,559.68,268.75
863.71,262.80,undefined,29799.900000095367,605.28,267.86
855.04,290.35,undefined,29855.700000047684,642.74,271.23
868.38,297.00,undefined,29926.700000047684,676.59,275.10
865.58,301.95,undefined,29984.5,704.94,279.12
832.53,337.64,undefined,30040.400000095367,724.08,287.90
805.35,369.65,undefined,30092.299999952316,736.27,300.17
747.09,358.25,undefined,30147.799999952316,737.89,308.88
773.94,409.04,undefined,30209.5,743.30,323.90
730.16,410.52,undefined,30263.099999904633,741.33,336.89
686.41,398.45,undefined,30312.299999952316,733.09,346.13
648.78,367.26,undefined,30373.700000047684,720.44,349.30
601.10,393.29,undefined,30442.400000095367,702.54,355.90
576.56,347.46,undefined,30511.5,683.65,354.63
602.64,351.41,undefined,30576.099999904633,671.49,354.15
575.30,367.95,undefined,30642.700000047684,657.07,356.22
571.94,386.74,undefined,30707.400000095367,644.30,360.79
592.12,407.68,undefined,30757.200000047684,636.47,367.83
607.52,394.83,undefined,30808.599999904633,632.13,371.88
623.01,378.12,undefined,30856.5,630.76,372.81
611.24,359.26,undefined,30926.599999904633,627.83,370.78
612.60,309.34,undefined,30991.200000047684,625.55,361.57
586.32,282.30,undefined,31041.299999952316,619.66,349.68
564.21,260.34,undefined,31090,611.35,336.28
542.91,244.84,undefined,31140.099999904633,601.08,322.56
544.05,233.95,undefined,31190.900000095367,592.53,309.27
554.00,183.83,undefined,31240.5,586.75,290.45
586.97,161.56,undefined,31291.200000047684,586.78,271.12
553.34,141.33,undefined,31341.200000047684,581.76,251.65
574.98,142.54,undefined,31391,580.75,235.29
575.88,136.84,undefined,31439.900000095367,580.02,220.52
530.41,134.62,undefined,31489.799999952316,572.58,207.63
532.41,177.83,undefined,31540.099999904633,566.55,203.16
472.12,196.10,undefined,31591,552.39,202.10
469.70,231.76,undefined,31640.700000047684,539.98,206.55
473.16,280.76,undefined,31689.599999904633,529.96,217.68
492.40,301.48,undefined,31742.400000095367,524.33,230.25
448.65,341.39,undefined,31786.400000095367,512.97,246.92
464.16,318.40,undefined,31841.200000047684,505.65,257.64
484.11,339.11,undefined,31890.5,502.42,269.86
488.02,345.82,undefined,31940.799999952316,500.26,281.26
490.91,343.34,undefined,31988.900000095367,498.86,290.57
515.85,371.89,undefined,32039.400000095367,501.41,302.77
439.84,362.65,undefined,32093.200000047684,492.17,311.75
467.06,353.95,undefined,32144,488.40,318.08
479.45,358.90,undefined,32198.200000047684,487.06,324.20
545.63,396.42,undefined,32243.700000047684,495.85,335.03
615.39,439.15,undefined,32287,513.78,350.65
644.90,445.46,undefined,32339.200000047684,533.45,364.87
693.08,453.00,undefined,32389.900000095367,557.39,378.09
669.27,430.33,undefined,32439.299999952316,574.17,385.93
638.47,415.86,undefined,32491.400000095367,583.82,390.42
640.25,371.54,undefined,32540.599999904633,592.28,387.59
617.12,370.28,undefined,32589.599999904633,596.01,384.99
616.40,351.99,undefined,32640.400000095367,599.07,380.04
641.56,423.12,undefined,32687.099999904633,605.44,386.50
674.12,417.93,undefined,32738.900000095367,615.74,391.22
658.95,375.11,undefined,32789.09999990463,622.22,388.80
645.94,348.38,undefined,32836.40000009537,625.78,382.74
631.28,294.53,undefined,32891.09999990463,626.61,369.51
608.48,240.81,undefined,32957.09999990463,623.89,350.20
596.34,238.25,undefined,33006.09999990463,619.76,333.41
624.81,273.07,undefined,33056.40000009537,620.51,324.36
