x,y,timestamp,targetX,targetY,user,error,dt_sec,in_bookshelf,in_sofa_web,in_sofa_game,in_phone,in_lamp,in_tv,in_files
51.62,117.65,2763.200000047684,57.73,250.76,5,,37.29999995231674,True,False,False,False,False,False,False
66.7,80.83,2795.600000143051,59.07,225.27,5,,32.40000009536698,True,False,False,False,False,False,False
78.63,47.84,2835.600000143051,62.0,198.66,5,,40.0,True,False,False,False,False,False,False
79.63,46.31,2878.0,64.65,175.8,5,,42.39999985694885,True,False,False,False,False,False,False
79.84,32.28,2918.200000047684,66.93,154.28,5,,40.20000004768417,False,False,False,False,False,False,False
79.25,22.86,2954.600000143051,68.78,134.56,5,,36.40000009536698,False,False,False,False,False,False,False
87.51,14.61,2996.5,71.59,116.57,5,,41.89999985694885,False,False,False,False,False,False,False
93.98,9.76,3053.5,74.95,100.55,5,,57.0,False,False,False,False,False,False,False
103.33,25.42,3093.5,79.2,89.28,5,,40.0,False,False,False,False,False,False,False
109.6,39.97,3129.800000190735,83.76,81.88,5,,36.30000019073486,True,False,False,False,False,False,False
114.25,53.56,3177.600000143051,88.34,77.63,5,,47.799999952316284,True,False,False,False,False,False,False
118.56,51.0,3213.100000143051,92.87,73.64,5,,35.5,True,False,False,False,False,False,False
114.5,49.27,3248.800000190735,96.11,69.98,5,,35.700000047683716,True,False,False,False,False,False,False
107.01,49.26,3283.800000190735,97.75,66.88,5,,35.0,True,False,False,False,False,False,False
103.05,49.38,3314.800000190735,98.54,64.25,5,,31.0,True,False,False,False,False,False,False
99.41,49.81,3352.200000047684,98.67,62.09,5,,37.39999985694931,True,False,False,False,False,False,False
92.75,50.19,3387.9000000953674,97.78,60.3,5,,35.70000004768326,True,False,False,False,False,False,False
94.33,53.62,3433.9000000953674,97.27,59.3,5,,46.0,True,False,False,False,False,False,False
88.4,53.85,3465.0,95.94,58.48,5,,31.09999990463257,True,False,False,False,False,False,False
78.66,53.87,3498.200000047684,93.35,57.79,5,,33.20000004768417,True,False,False,False,False,False,False
69.19,41.68,3537.800000190735,89.72,55.37,5,,39.60000014305069,True,False,False,False,False,False,False
62.18,34.26,3573.200000047684,85.59,52.21,5,,35.39999985694931,False,False,False,False,False,False,False
55.03,34.23,3620.900000095368,81.01,49.51,5,,47.700000047683716,False,False,False,False,False,False,False
51.75,32.73,3669.100000143051,76.62,46.99,5,,48.20000004768326,False,False,False,False,False,False,False
42.91,31.23,3720.300000190735,71.56,44.63,5,,51.200000047683716,False,False,False,False,False,False,False
42.16,32.32,3752.300000190735,67.15,42.78,5,,32.0,False,False,False,False,False,False,False
38.4,31.16,3786.300000190735,62.84,41.04,5,,34.0,False,False,False,False,False,False,False
34.91,28.28,3820.200000047684,58.65,39.12,5,,33.89999985694931,False,False,False,False,False,False,False
34.51,26.28,3858.600000143051,55.03,37.2,5,,38.40000009536698,False,False,False,False,False,False,False
42.22,30.03,3891.700000047684,53.11,36.12,5,,33.09999990463302,False,False,False,False,False,False,False
49.43,33.44,3924.100000143051,52.56,35.72,5,,32.40000009536698,False,False,False,False,False,False,False
50.28,33.83,3956.300000190735,52.21,35.44,5,,32.200000047683716,False,False,False,False,False,False,False
50.26,32.63,3989.900000095368,51.92,35.02,5,,33.59999990463302,False,False,False,False,False,False,False
47.66,31.12,4021.400000095368,51.28,34.43,5,,31.5,False,False,False,False,False,False,False
45.48,29.88,4052.400000095368,50.41,33.75,5,,31.0,False,False,False,False,False,False,False
47.61,30.47,4086.700000047684,49.99,33.26,5,,34.299999952316284,False,False,False,False,False,False,False
46.38,29.99,4123.700000047684,49.45,32.77,5,,36.999999999999545,False,False,False,False,False,False,False
92.75,28.85,4161.600000143051,55.95,32.18,5,,37.90000009536743,False,False,False,False,False,False,False
109.72,16.16,4196.100000143051,64.01,29.78,5,,34.5,False,False,False,False,False,False,False
133.35,7.53,4234.100000143051,74.41,26.44,5,,38.0,False,False,False,False,False,False,False
199.38,13.81,4273.200000047684,93.16,24.55,5,,39.09999990463257,False,False,False,False,False,False,False
245.69,19.53,4306.800000190735,116.04,23.79,5,,33.60000014305115,False,False,False,False,False,False,False
303.63,25.91,4340.700000047684,144.18,24.11,5,,33.89999985694885,False,False,False,False,False,False,False
311.82,45.29,4378.700000047684,169.32,27.29,5,,38.0,False,False,False,False,False,False,False
310.65,51.51,4420.400000095367,190.52,30.92,5,,41.700000047683716,False,False,False,False,False,False,False
278.82,120.31,4464.400000095367,203.77,44.33,5,,44.0,True,False,False,False,False,False,False
225.3,92.27,4503.800000190735,207.0,51.52,5,,39.40000009536743,True,False,False,False,False,False,False
170.48,79.22,4543.600000143051,201.52,55.68,5,,39.799999952316284,True,False,False,False,False,False,False
19.36,250.27,4581.5,174.19,84.87,5,,37.89999985694885,False,False,False,False,False,False,False
4.92,306.38,4924.5,148.8,118.09,5,,343.0,False,False,False,False,False,False,False
99.33,248.67,4964.300000190735,141.38,137.68,5,,39.80000019073486,True,False,False,False,False,False,False
171.25,183.96,5022.300000190735,145.86,144.62,5,,58.0,True,False,False,False,False,False,False
273.72,123.74,5062.800000190735,165.04,141.49,5,,40.5,True,False,False,False,False,False,False
291.46,129.37,5109.700000047684,184.0,139.67,5,,46.89999985694885,True,False,False,False,False,False,False
388.05,66.17,5148.600000143051,214.61,128.65,5,,38.90000009536743,False,False,False,False,False,False,False
433.81,28.92,5203.700000047684,247.49,113.69,5,,55.09999990463257,False,False,False,False,False,False,False
453.72,27.71,5241.5,278.42,100.79,5,,37.799999952316284,False,False,False,False,False,False,False
