x,y,timestamp,targetX,targetY
677.91,14.42,18792.700000047684,745.83,25.16
620.67,17.22,18826.099999904633,727.06,23.97
575.89,19.79,18859.099999904633,704.38,23.34
560.18,24.45,18893,682.75,23.51
605.70,24.54,18926.5,671.20,23.66
666.98,23.28,18959.39999985695,670.56,23.60
673.21,25.84,18992.89999985695,670.96,23.94
705.18,26.70,19026.099999904633,676.09,24.35
731.95,26.87,19059.799999952316,684.47,24.73
757.38,28.01,19093,695.41,25.22
760.11,28.93,19126,705.11,25.78
807.61,28.86,19159.099999904633,720.49,26.24
787.30,28.48,19192.89999985695,730.51,26.58
769.68,32.02,19225.799999952316,736.39,27.39
805.46,30.54,19259.5,746.75,27.87
807.25,33.38,19292.700000047684,755.82,28.69
773.11,33.38,19325.700000047684,758.42,29.40
769.28,30.41,19359.299999952316,760.05,29.55
740.37,29.90,19392.799999952316,757.09,29.60
723.50,29.71,19426.099999904633,752.06,29.62
755.32,29.28,19459.39999985695,752.55,29.57
760.46,29.69,19492.700000047684,753.73,29.59
757.98,29.79,19525.799999952316,754.37,29.62
760.73,26.99,19559.299999952316,755.32,29.22
741.80,25.39,19592.700000047684,753.30,28.65
773.78,24.60,19625.700000047684,756.37,28.04
760.63,26.35,19658.89999985695,757.01,27.79
775.55,21.10,19691.89999985695,759.79,26.78
796.81,39.70,19725.89999985695,765.34,28.72
735.26,47.24,19758.799999952316,760.83,31.50
664.79,89.03,19792,746.42,40.13
623.46,126.60,19825.799999952316,727.98,53.10
552.53,141.59,19859.39999985695,701.66,66.37
457.93,173.03,19891.599999904633,665.10,82.37
365.57,201.14,19925.099999904633,620.17,100.19
241.71,227.42,19958.599999904633,563.40,119.27
84.16,241.48,19992.299999952316,491.52,137.60
10.67,370.10,20860,419.39,172.48
5.13,380.27,20892.299999952316,357.25,203.65
12.41,389.29,20925.5,305.53,231.49
61.95,375.51,20994.299999952316,268.99,253.10
33.04,384.33,21026.299999952316,233.60,272.78
52.60,389.69,21075,206.45,290.32
47.16,379.66,21108.799999952316,182.55,303.72
91.48,370.62,21144.39999985695,168.89,313.76
67.42,391.16,21176.39999985695,153.67,325.37
78.61,385.96,21208.799999952316,142.41,334.46
139.76,337.59,21242.89999985695,142.01,334.93
179.75,323.30,21275.599999904633,147.68,333.18
174.96,306.63,21308.5,151.77,329.20
170.18,307.71,21341.5,154.53,325.98
159.30,309.62,21374.799999952316,155.25,323.52
179.17,299.25,21407.700000047684,158.83,319.88
147.62,312.05,21441.39999985695,157.15,318.71
103.58,340.43,21491.700000047684,149.12,321.97
103.30,357.91,21526.39999985695,142.24,327.36
114.35,364.26,21560.39999985695,138.06,332.89
104.11,384.43,21610,132.97,340.62
102.24,400.61,21642.599999904633,128.36,349.62
97.19,392.96,21677.599999904633,123.68,356.12
100.95,377.99,21709.39999985695,120.27,359.40
66.71,394.21,21742.299999952316,112.24,364.62
61.57,396.20,21792.299999952316,104.64,369.36
18.40,401.05,21825,91.70,374.11
16.15,406.81,21858.799999952316,80.37,379.02
31.25,404.94,21892.5,73.00,382.91
14.36,425.10,21925.39999985695,64.20,389.23
3.35,430.58,21958.700000047684,55.08,395.44
18.44,407.61,21996.39999985695,49.58,397.26
88.76,376.95,22036.599999904633,55.46,394.22
121.07,381.07,22074.700000047684,65.30,392.24
173.74,358.24,22108.599999904633,81.57,387.14
222.84,356.62,22141.89999985695,102.76,382.56
275.79,339.60,22174.700000047684,128.71,376.12
295.08,344.78,22207.5,153.67,371.42
326.85,352.01,22245.099999904633,179.64,368.51
365.68,354.24,22276.700000047684,207.55,366.37
358.58,341.03,22308.89999985695,230.20,362.57
343.11,358.06,22341.39999985695,247.14,361.89
359.60,353.33,22373.099999904633,264.01,360.61
353.13,407.24,22407.799999952316,277.38,367.60
319.29,458.97,22441.5,283.66,381.31
410.99,463.15,22474.599999904633,302.76,393.58
406.59,457.05,22509.39999985695,318.34,403.10
440.22,472.74,22541.5,336.62,413.55
451.62,447.05,22574.89999985695,353.87,418.57
443.55,416.18,22607.5,367.32,418.22
444.97,391.75,22640.599999904633,378.97,414.25
437.86,361.60,22674.39999985695,387.80,406.35
443.35,338.25,22712,396.13,396.13
444.67,343.64,22740.89999985695,403.41,388.26
505.32,313.00,22775.39999985695,418.70,376.97
506.61,312.97,22808,431.89,367.37
490.55,313.17,22841.299999952316,440.69,359.24
432.76,334.57,22874.700000047684,439.50,355.54
424.79,346.87,22908.200000047684,437.29,354.24
402.98,362.72,22941.299999952316,432.14,355.51
415.58,351.73,22980.200000047684,429.66,354.94
437.88,329.93,23015.599999904633,430.89,351.19
443.51,309.64,23059.099999904633,432.79,344.96
426.18,308.51,23092.099999904633,431.79,339.49
396.57,326.83,23142.599999904633,426.51,337.59
428.85,312.14,23191.299999952316,426.86,333.78
443.79,293.32,23225.099999904633,429.40,327.71
447.30,309.41,23258.89999985695,432.09,324.96
493.44,294.46,23297.700000047684,441.29,320.39
538.65,286.24,23332,455.89,315.27
525.00,292.07,23377.5,466.26,311.79
507.04,320.90,23426.099999904633,472.38,313.15
492.45,327.47,23459.5,475.39,315.30
428.32,323.73,23492.5,468.33,316.57
401.74,336.80,23526.89999985695,458.34,319.60
415.01,356.93,23558.39999985695,451.84,325.20
432.66,388.61,23591.700000047684,448.96,334.71
384.28,397.63,23625.200000047684,439.26,344.15
317.04,398.73,23658.89999985695,420.93,352.34
323.80,392.06,23691.700000047684,406.36,358.29
297.32,377.09,23728,390.00,361.11
291.89,385.43,23757.5,375.28,364.76
388.57,353.46,23808.599999904633,377.28,363.07
453.30,333.47,23841,388.68,358.63
494.75,319.28,23874,404.59,352.72
491.00,328.93,23908,417.55,349.16
499.36,324.98,23941.799999952316,429.82,345.53
530.65,322.02,23974.700000047684,444.95,342.00
494.88,324.10,24008.299999952316,452.44,339.32
519.57,322.87,24041,462.51,336.85
551.23,322.38,24074.5,475.82,334.68
602.14,296.59,24107.89999985695,494.77,328.97
607.80,277.80,24143.39999985695,511.72,321.29
659.95,251.73,24176.599999904633,533.95,310.86
676.46,274.67,24207.599999904633,555.33,305.43
774.64,248.49,24240.89999985695,588.23,296.89
802.30,254.85,24274.299999952316,620.34,290.58
885.19,246.56,24307.299999952316,660.06,283.98
883.73,267.96,24341.39999985695,693.61,281.58
877.25,291.61,24377.700000047684,721.16,283.08
909.58,288.68,24407.200000047684,749.42,283.92
935.56,316.90,24440.39999985695,777.34,288.87
957.62,350.73,24474.099999904633,804.38,298.15
1010.93,345.17,24507.700000047684,835.37,305.20
970.84,360.64,24740.89999985695,855.69,313.52
937.11,343.40,24774.099999904633,867.90,318.00
935.43,359.58,24812.099999904633,878.03,324.24
932.00,372.06,24844,886.13,331.41
957.88,380.85,24878.799999952316,896.89,338.83
947.69,362.51,24907.39999985695,904.51,342.38
912.60,379.39,24941.39999985695,905.72,347.93
934.50,388.13,24974.099999904633,910.04,353.96
889.74,401.19,25008,907.00,361.04
873.14,395.32,25039.799999952316,901.92,366.19
855.30,406.20,25074.39999985695,894.93,372.19
871.35,404.02,25108,891.39,376.96
877.07,387.49,25145,889.24,378.54
912.30,376.67,25178.099999904633,892.70,378.26
914.28,374.45,25209.200000047684,895.94,377.69
918.21,348.34,25240.700000047684,899.28,373.29
906.76,356.11,25274.099999904633,900.40,370.71
915.43,360.65,25307.799999952316,902.65,369.20
908.45,344.43,25340.799999952316,903.52,365.49
911.31,349.97,25374.099999904633,904.69,363.16
920.31,351.46,25407.39999985695,907.03,361.40
874.01,357.20,25457.5,902.08,360.77
864.58,367.02,25492.200000047684,896.46,361.71
870.29,385.40,25542.299999952316,892.53,365.26
882.38,380.79,25576.099999904633,891.01,367.59
883.21,365.48,25610.099999904633,889.84,367.28
873.13,374.21,25642.099999904633,887.33,368.31
825.22,360.73,25678,878.02,367.18
640.86,345.77,25710.099999904633,842.44,363.97
477.62,332.66,25742.200000047684,787.72,359.27
418.01,328.95,25774.5,732.26,354.72
399.18,299.38,25808.200000047684,682.30,346.42
473.18,245.97,25841,650.93,331.35
550.88,256.20,25882.200000047684,635.92,320.08
648.45,242.00,25911.799999952316,637.80,308.37
715.28,253.71,25958.700000047684,649.42,300.17
753.02,253.20,25991.200000047684,664.96,293.13
825.12,267.30,26025.599999904633,688.99,289.25
861.09,305.99,26060.5,714.80,291.76
892.10,326.48,26109.299999952316,741.40,296.97
904.55,334.98,26141,765.87,302.67
944.84,331.14,26174.099999904633,792.72,306.94
948.86,319.11,26207.700000047684,816.14,308.77
970.72,325.16,26241.599999904633,839.33,311.23
989.03,327.47,26274.299999952316,861.78,313.66
954.09,331.78,26308.299999952316,875.63,316.38
931.56,350.87,26343.799999952316,884.02,321.55
835.48,370.46,26374.89999985695,876.74,328.89
719.12,413.48,26407.299999952316,853.09,341.58
559.00,474.62,26441.599999904633,808.98,361.54
429.51,530.39,26473.799999952316,752.06,386.86
356.08,577.39,26507,692.66,415.44
272.07,623.39,26541,629.57,446.63
208.67,646.97,26574.200000047684,566.44,476.68
149.05,669.79,26607.700000047684,503.83,505.65
85.83,672.99,26641.299999952316,441.13,530.75
67.92,691.05,26676.299999952316,385.15,554.80
75.96,683.43,26707.5,338.77,574.09
107.39,671.90,26740.099999904633,304.06,588.76
275.00,539.00,26773.799999952316,299.70,581.30
396.00,525.00,26808,314.15,572.85
248.00,511.00,26841.200000047684,304.23,563.58
353.00,494.00,26873.700000047684,311.54,553.14
381.00,447.00,26907.099999904633,321.96,537.22
396.00,482.00,26941.299999952316,333.07,528.94
219.00,549.00,26974.39999985695,315.96,531.95
284.00,560.00,27008.39999985695,311.16,536.15
286.00,557.00,27040.799999952316,307.39,539.28
390.00,438.00,27074.5,319.78,524.09
301.00,527.00,27107,316.96,524.52
650.00,447.00,27140.700000047684,366.92,512.90
720.00,462.00,27174.200000047684,419.88,505.26
557.00,357.00,27207.299999952316,440.45,483.02
817.00,422.00,27240.700000047684,496.93,473.87
709.00,402.00,27274.299999952316,528.74,463.09
558.00,485.00,27307.5,533.13,466.38
671.00,396.00,27340.799999952316,553.81,455.82
673.00,515.00,27378.700000047684,571.69,464.70
584.00,461.00,27412.5,573.54,464.14
673.00,448.00,27444.799999952316,588.46,461.72
594.00,526.00,27482,589.29,471.36
775.00,406.00,27513.799999952316,617.14,461.56
727.00,491.00,27544.799999952316,633.62,465.97
810.00,501.00,27577.099999904633,660.08,471.23
739.00,416.00,27607.700000047684,671.92,462.94
998.00,420.00,27641.099999904633,720.83,456.50
650.00,417.00,27673.799999952316,710.21,450.58
859.00,375.00,27706.700000047684,732.52,439.24
645.00,451.00,27740.799999952316,719.40,441.00
590.00,492.00,27807,699.99,448.65
949.00,404.00,27907.700000047684,737.34,441.96
990.00,336.00,27940.5,775.24,426.06
867.00,341.00,27974,789.00,413.30
916.00,426.00,28040.700000047684,808.05,415.21
677.00,416.00,28073.799999952316,788.39,415.33
575.00,439.00,28140,756.38,418.88
562.00,477.00,28173.099999904633,727.23,427.60
617.00,490.00,28207,710.69,436.96
555.00,505.00,28240.5,687.34,447.16
715.00,395.00,28273.700000047684,691.49,439.34
202.90,636.39,28307.799999952316,618.20,468.90
269.90,597.77,28340.39999985695,565.96,488.23
353.65,560.49,28373.89999985695,534.11,499.07
488.47,509.15,28407.200000047684,527.26,500.58
565.25,478.17,28440.39999985695,532.96,497.22
638.22,454.02,28473.799999952316,548.75,490.74
632.84,434.67,28506.700000047684,561.36,482.33
635.86,422.18,28540.200000047684,572.54,473.31
616.21,431.00,28573.89999985695,579.09,466.96
621.00,437.71,28606.700000047684,585.38,462.57
574.14,447.17,28640.599999904633,583.69,460.26
570.57,456.29,28673.599999904633,581.72,459.67
519.85,445.42,28707.599999904633,572.44,457.53
487.65,458.39,28741.200000047684,559.72,457.66
411.72,475.77,28773.700000047684,537.52,460.38
376.36,470.94,28807.39999985695,513.35,461.96
328.77,469.66,28840.39999985695,485.66,463.12
278.70,492.43,28874.099999904633,454.62,467.51
280.91,483.83,28911.099999904633,428.56,469.96
269.38,500.78,28940.200000047684,404.68,474.58
268.45,496.73,28973.599999904633,384.25,477.91
319.77,498.64,29006.700000047684,374.58,481.02
321.20,513.07,29040.299999952316,366.57,485.82
340.55,500.72,29073.5,362.67,488.06
350.12,500.49,29107.099999904633,360.79,489.92
339.69,500.88,29140.599999904633,357.62,491.57
332.72,503.41,29173.89999985695,353.89,493.34
333.83,513.02,29206.799999952316,350.88,496.29
331.17,508.45,29239.799999952316,347.92,498.12
362.40,486.74,29273.799999952316,350.09,496.41
430.04,484.33,29306.299999952316,362.09,494.60
529.62,478.83,29339.5,387.22,492.23
591.67,476.22,29373.099999904633,417.88,489.83
659.06,481.34,29406.299999952316,454.06,488.56
637.75,468.98,29439.39999985695,481.61,485.62
719.16,458.36,29473.299999952316,517.25,481.53
748.08,443.12,29506,551.87,475.77
700.33,486.13,29547.39999985695,574.14,477.32
744.02,482.26,29578.5,599.62,478.06
717.16,507.32,29611.599999904633,617.25,482.45
713.70,490.86,29643.5,631.72,483.71
750.13,502.80,29674.299999952316,649.48,486.58
800.68,479.58,29708.5,672.16,485.53
748.74,513.70,29741.700000047684,683.65,489.75
726.65,501.73,29780.799999952316,690.10,491.55
591.95,557.56,29813.89999985695,675.38,501.45
639.79,624.19,29846.700000047684,670.04,519.86
497.09,691.75,29877.799999952316,644.10,545.65
487.63,719.11,29910.200000047684,620.63,571.66
468.40,672.98,29942.5,597.79,586.86
441.08,655.96,29973.5,574.29,597.23
501.57,613.10,30007.89999985695,563.38,599.61
534.70,565.30,30044.39999985695,559.08,594.46
562.52,539.33,30078.599999904633,559.59,586.19
526.18,504.23,30111.39999985695,554.58,573.90
550.97,492.88,30145.099999904633,554.04,561.74
647.46,470.22,30187.89999985695,568.05,548.01
685.30,439.25,30224.799999952316,585.64,531.70
709.34,388.56,30255.39999985695,604.20,510.23
641.42,378.46,30289.099999904633,609.78,490.46
558.56,408.67,30323.39999985695,602.10,478.20
450.85,418.78,30355.700000047684,579.41,469.28
384.76,433.72,30389.099999904633,550.21,463.95
392.91,526.20,30422.39999985695,526.62,473.29
370.94,585.77,30456.099999904633,503.27,490.16
454.12,612.32,30489.89999985695,495.89,508.48
568.28,630.62,30522.299999952316,506.75,526.80
685.51,627.62,30556.700000047684,533.56,541.93
722.42,610.17,30589.700000047684,561.89,552.16
802.07,632.12,30623.099999904633,597.92,564.16
784.13,647.79,30656.599999904633,625.85,576.70
870.03,594.33,30689.299999952316,662.48,579.35
862.96,572.87,30723.099999904633,692.55,578.37
936.05,481.05,30755.5,729.07,563.77
938.28,472.21,30789.599999904633,760.45,550.04
882.84,444.84,31211.89999985695,778.81,534.26
763.70,480.33,31244.39999985695,776.55,526.17
724.12,490.53,31276.5,768.68,520.82
553.85,543.09,31309.299999952316,736.46,524.16
330.10,625.12,31343.700000047684,675.51,539.31
137.46,691.70,31376.39999985695,594.80,562.16
54.16,734.35,31407.299999952316,513.70,587.99
22.30,720.82,31889.200000047684,439.99,607.92
22.19,690.19,31923.700000047684,377.32,620.26
90.20,675.52,31973.099999904633,334.25,628.55
47.73,672.60,32008.200000047684,291.28,635.15
19.19,666.51,32064.599999904633,250.46,639.86
27.04,669.20,32106,216.95,644.26
17.51,685.14,32139.89999985695,187.03,650.39
16.92,686.56,32172.099999904633,161.52,655.82
36.18,673.99,32206,142.72,658.54
28.63,674.36,32238.5,125.60,660.92
30.97,650.59,32272.200000047684,111.41,659.37
57.60,658.08,32306.5,103.34,659.17
61.42,640.70,32338.5,97.05,656.40
39.96,650.63,32373.099999904633,88.48,655.54
78.41,655.23,32405.700000047684,86.97,655.49
137.13,660.80,32456.200000047684,94.50,656.29
164.27,651.36,32490.700000047684,104.96,655.55
210.54,646.82,32524.099999904633,120.80,654.24
204.05,633.26,32557.299999952316,133.29,651.09
226.00,635.62,32593.099999904633,147.19,648.77
222.60,646.72,32627.200000047684,158.50,648.46
198.89,687.92,32659.39999985695,164.56,654.38
200.40,692.70,32693.200000047684,169.94,660.13
200.44,691.19,32739.099999904633,174.51,664.79
200.94,665.76,32772.799999952316,178.48,664.93
170.01,642.88,32806.09999990463,177.21,661.63
178.16,632.09,32839.59999990463,177.35,657.20
191.63,630.66,32872.89999985695,179.49,653.21
197.18,645.67,32906.5,182.14,652.08
164.38,639.02,32939.299999952316,179.48,650.12
155.21,637.44,32972.700000047684,175.84,648.22
176.43,618.54,33012.39999985695,175.93,643.77
207.64,633.06,33045.59999990463,180.69,642.16
244.31,631.52,33076.59999990463,190.23,640.57
236.95,657.37,33107.299999952316,197.24,643.09
230.10,658.32,33138.200000047684,202.17,645.37
269.25,624.57,33172.200000047684,212.23,642.25
282.59,622.85,33205.39999985695,222.78,639.34
338.04,595.04,33238.39999985695,240.07,632.70
370.37,619.11,33271.89999985695,259.62,630.66
396.93,631.69,33306.09999990463,280.21,630.81
486.13,586.86,33339,311.10,624.22
486.34,615.48,33364.700000047684,337.39,622.91
502.67,641.86,33399.5,362.18,625.75
525.10,649.52,33442.89999985695,386.62,629.32
